DSIDP TDX-ORB-3-RSO+CTS-RSG_2019_066_22_00_2019_067_12_00
COMENT TerraSAR-X SST Two-Step Processing
COMENT For best results cut the orbit to the period
COMENT 22:50:00 - 10:50:00
COSPAR 2010-030A
PERIOD  70045 79251184000  70055 43281184000
INIREV 48306
OBSINF SLR n = 85
OBSINF GPC n = 11692
OBSINF GPP n = 11692
PARAMS MNA EX  EY  EZ  EXD EYD EZD BTC BTS BTD BTT BNC BNS BND BNT
QUALCO Sta_Dev_Initial_Elements = 93 103 63 mm, 231 243 172 mu/s
QUALCO RMS_Obs_Laser            = 31 mm; n = 85,  elim = 0
QUALCO RMS_Obs_GPScode          = 460 mm; n = 11107, elim = 585
QUALCO RMS_Obs_GPSphase         = 6 mm; n = 11107, elim = 585
TFRAME TT
TT-UTC 69184 ms
RFRAME CTS
MRELAT  Post Newt. IERS-2003
MNUTAT  IAU200OA compl.+off.
MPOTER  COMB-Projekt D1 + CH
MPOLUN  FERRARI77
METID   IERS-Conv. (1996)
MOTID   EOT11a, Load Love Nu
MATMOS  DTM 94bis
MALBED  No Albedo
MEPHEM  DE200/LE200
COMENT The ORBIT line marks end of the header and start of the trajectory records
 7004584141184000 -1472222036  5775528526  3445200557  5919802132 40477320000-65096808792      0      0  -3000    0 LD 
 7004584171184000 -1453399501  5893738041  3248047531  6625841750 38321304940-66326478962      0      0  -3000    0 LD 
 7004584201184000 -1432483750  6005411278  3047314737  7315117800 36120214078-67483098095      0      0  -3000    0 LD 
 7004584231184000 -1409526512  6110416749  2843223288  7986677362 33876548923-68565374558      0      0  -3000    0 LD 
 7004584261184000 -1384582325  6208630552  2635998042  8639599173 31592865500-69572101845      0      0  -3000    0 LD 
 7004584291184000 -1357708445  6299936526  2425867349  9272994371 29271768202-70502159278      0      0  -3000    0 LD 
 7004584321184000 -1328964743  6384226396  2213062794  9886006906 26915907167-71354511811      0      0  -3000    0 LD 
 7004584351184000 -1298413609  6461399898  1997818934 10477814542 24527976226-72128211874      0      0  -3000    0 LD 
 7004584381184000 -1266119849  6531364916  1780373036 11047630249 22110709176-72822401120      0      0  -3000    0 LD 
 7004584411184000 -1232150571  6594037586  1560964810 11594703598 19666876316-73436310888      0      0  -3000    0 LD 
 7004584441184000 -1196575083  6649342411  1339836132 12118321926 17199281427-73969263131      0      0  -3000    0 WD 
 7004584471184000 -1159464770  6697212346  1117230778 12617810994 14710758121-74420671264      0      0  -3000    0 LD 
 7004584501184000 -1120892983  6737588890   893394146 13092535464 12204166709-74790040390      0      0  -3000    0 LD 
 7004584531184000 -1080934919  6770422161   668572980 13541899876  9682391617-75076968103      0      0  -3000    0 WD 
